,id,text
4454,1.2489993773072384e+18,@UberFacts HOLY HELL WELL I GUESS WE GOT A WHOLE PACK OF PANDAS IN THE WHITE HOUSE LOL
24060,1.249004473608962e+18,@UberFacts Season 3 of @MINDHUNTER_ @netflix ??
28175,1.2490054900021658e+18,@thelewisp @UberFacts @jamespowles17 And THIS is why I always read the comments! 😂
1507,1.249006347422597e+18,Just took an @Uber that was more dangerous than this #plannedemic
1538,1.2490063554716426e+18,@UberFacts When life hands you lemons....
6200,1.2490075041738547e+18,"As the #CRE community fixated on @WeWork, #SoftBank is hurting all over: @Uber @oyorooms @Compass @DoorDash #WAGS… https://t.co/NcoDGYsZlo"
10010,1.2490084694216376e+18,@Uber_Support It’s an ironic joke...
11533,1.2490088665091523e+18,"So @Uber ($14.15 Billions) and @lyft  ($3.5 billions) are not providing financial assistance to their drivers, let… https://t.co/fOwgy2gXkt"
13548,1.2490093643268465e+18,Shoutout to the incompetent @UberEats driver who never delivered my food to my apartment
29788,1.2490134358258278e+18,🍕 🥗 @calpizzakitchen  🚚 @UberEats #lunchtime  #nocontactdelivery #socialdistancing
22209,1.2490191072670556e+18,@Saris713 @nevrwhere @DoorDash @UberEats @Grubhub @Postmates @Caviar @ServSafe is giving free Food Handler cards fo… https://t.co/Q8qaBFeZgo
10857,1.249023707927978e+18,@UberFacts Oh you https://t.co/SQgxUZkjs4 lawyers ??? Lol
21915,1.249026412289327e+18,@UberFacts Absolutely decimates stomach
24390,1.249027024624046e+18,@foodiegrl @Uber @lyft LOL on the image. People are just blowing through stop signs! 😧
2543,1.2490290304620626e+18,@Uber_Eddie @el_chuey25 https://t.co/Brni4TH83K
20290,1.249034073336615e+18,"@Melsketches @UberKryptonian Damian, whiteeashed?"
20683,1.249034165695152e+18,@UberFacts This is BunnySlippers https://t.co/x6AAKL8UQt
24793,1.2490351463946568e+18,@UberFacts Kirby https://t.co/uyDSMVykfb
26141,1.249035464985772e+18,@UberFacts A prickle of porcupine previously parlayed passionately! 🤷🏾‍♂️
26386,1.2490355262393795e+18,@UberFacts This is Mando. He likes to get confortable. https://t.co/96U2IrmmiV
14368,1.2490443072161382e+18,Asian food for lunch via @UberEats Supporting a local restaurant &amp; tipping my delivery person well! #supportsmallbusiness #COVID2019
24392,1.2490758703394038e+18,@UberFacts https://t.co/0hezJTD2WY
817,1.249077562418094e+18,@DeusVuIt @UberFacts And do that make you feel good about yourself?
1377,1.2490777012453908e+18,@DeusVuIt @UberFacts And does that make you feel good about yourself or something?
13864,1.2490808653316137e+18,@UberFacts https://t.co/3zyYexyBVq
22770,1.24908316319386e+18,El #Gallo71 en #UberEats es la mejor noticia del mundo mundial.... 🙌🏼
25017,1.2490837389205873e+18,@Ubercapper @GulfstreamPark Any suggestions with scratches?
1071,1.2490853335698514e+18,@Ubercapper @GulfstreamPark And/or adds since the p3 is alive (and p2)?
1893,1.249085545118081e+18,@UberFacts That Definitely Makes it Less Kid Friendly
2599,1.2490857197438116e+18,@UberEats can you explain how the $0 delivery fee works? Is there something I have to do to get the fee waived? I o… https://t.co/LNu3DDi1kl
25872,1.2490922788215562e+18,@UberFacts https://t.co/vazLkB6tMR
27115,1.2490925949040968e+18,@UberFacts Resourceful fuckers huh?
10112,1.2490958259234652e+18,#chefhudaskitchen #ordernow #doordash #grubhub #ubereats #eatlocal #dinner #letuscook #vegan #comfortfood #soulfood… https://t.co/FMuBJFqsQE
13919,1.2490967785295053e+18,Neither @UberEats or @SkipTheDishes deliver in Port Colborne 😭😭😭 all I want is @tacobell and @Arbys 😭… https://t.co/SXYs5nK7zC
14898,1.2490970231161938e+18,@UberFacts Then I’m burning about 5 of the cals.
19278,1.2492734576546857e+18,@Ubercapper @AmWager Thx for the picks! It was a good day! You are the man!
2032,1.2493088274107884e+18,@UberFacts Ok can I have rainy days off in Arizona? 😫
6731,1.249311641960878e+18,@arvid113 @BrooklynNYC68 @lovely_lucy1984 @UberFacts https://t.co/ohVnokml0U
8170,1.24931250816435e+18,@UberFacts The ultimate cockblock 🤣😂
23220,1.2493202987274732e+18,@Mkparis2 @UberEats @Flemings I feel the need to come and visit you today!!
28236,1.249322548375978e+18,@akidnamedmo @UberEats You’re a hoe
29557,1.249323144369836e+18,@RaidersLakers @Kayltheking @UberFacts https://t.co/FMnt2RW0Qb
29851,1.2493232624688538e+18,"@UberFacts Little known fact: this is a direct byproduct of “l didn’t pay attention in class, do my homework, and review-anxiety”"
153,1.2493233913472983e+18,@realitybiasnews @UberFacts Amen!
7072,1.249340890088231e+18,@UberFacts HOLY HELL LIKE A LIL BABY COCK BLOCK RUDE BUT ALSO RESPECT THE INGENUITY
29553,1.2493475828300636e+18,@Ubercapper @KNBR @GulfstreamPark My notes: https://t.co/I0OUtkvV4Y
3999,1.249348847723139e+18,@UberSlutMother I want that bad
12655,1.249351285872169e+18,Girl f***k you and your high ass prices @UberEats https://t.co/PkMZDmoqzG
12932,1.249351367790977e+18,"@indypghgirl @Uber Totally with you here in Tempe, AZ.  Happy Easter."
13065,1.2493514010058588e+18,"@Benioff @vijayharrell @UberFreight @dkhos @UCSF @ryanaytay @salesforce I mean, also thanks to the drivers."
13744,1.2493515911797555e+18,Imma still order from yall though @UberEats https://t.co/yx9eE1Dktd
19369,1.2493770121894666e+18,@Dborn21con @marlibwilson @TheAmz2017 @MikeMurai8632 @UberFacts you gave “gaming” in ur bio and you retweet donald… https://t.co/iqR97Csdpm
22123,1.2493776871536394e+18,@Centazzo @UberFacts O shit
6803,1.2493812869066424e+18,@UberFacts The original cat caller
7356,1.2493814259602514e+18,@UberFacts Were?
8377,1.2493816618521068e+18,@UberFacts https://t.co/SCDqfrFHaQ
19300,1.249399576852824e+18,"#HappyEaster
WE ARE OPEN For All Your Favorite Dishes &amp; Drinks! #SUNDAYS 12PM-1AM!
.
✅FIND US ON #UBEREATS &amp;… https://t.co/kPfb3Y3KhI"
21439,1.249400072187646e+18,@UberFacts Even more of a reason for me to not want one
1568,1.2494048751102648e+18,When you decide you really want some @TimHortons  timbits order off @UberEats to get them and a sandwich. You open… https://t.co/7wzc9l8H5S
3673,1.2494474236609987e+18,@UberGuber @iproofer1 He’s not worth it.
5685,1.2494479521055703e+18,@UberFacts Well shit man!!!
16229,1.249450647356752e+18,I wanna be as happy as Larry. #uberism
25692,1.249452968434262e+18,I think @Uber needs to do away with passenger ratings. The driver can rate a passenger low because they were disabl… https://t.co/XQdAziLz6u
153,1.2494540848866386e+18,"@KaGeXOW @UberShouts @MattMrX I don't even know why I said that lol xD FORGIVE ME, FAM"
1234,1.2494543746335089e+18,@novogratz @Mr_Anderson____ Or @Uber drivers
20853,1.249459461166715e+18,@StoneyD @UberEats Agree!
9795,1.24946809733512e+18,@Uber_Support DM’d my phone #. I don’t know what other details you need. I’ve summarized the issue in the tweet and… https://t.co/coO9hnoeyZ
12938,1.2494763734644613e+18,vegetable fried rice makes you 💪🏻 order 📞4809667660 or delivery @doordash @postmates @ubereats #aztakeoutweek… https://t.co/JCMkFb8eih
19353,1.2494779958211748e+18,.@Uber kudos to you for that commercial during @60Minutes! “Stay home for those who can’t. Thank you for not riding… https://t.co/nvTbqP7Cpz
17471,1.2497100549760082e+18,#Uber Thank You For Not Riding | Uber https://t.co/IVo7ZqDjdE via @YouTube
24453,1.2497173511356006e+18,@ubercreeep After for me
25527,1.2497176351279186e+18,"Who loves a good #pelau with #coleslaw?

Order yours now on #ubereats 

#tastycaribbean
856 Utica Ave 718.282.8652… https://t.co/ue6PoJrGNK"
5155,1.2497207954856878e+18,@Uber o went to pick up a Uber Eats order last night. At mc Donald's. They were closed. And I couldn't get through… https://t.co/TTdfLYBQEO
13928,1.2497230239193825e+18,Did you know that @foodora_ca doesn’t gauge restaurants for as much of their profits as @UberEats does? That free d… https://t.co/duFSPxAk0K
14156,1.249723079598768e+18,repost via @divvypic from @aaableinsurance We insure #Ubereats drivers. Call today for a free quote 954-791-7126… https://t.co/xuFVq8aYDe
24359,1.2497256407288136e+18,"@UberEats vs @SkipTheDishes 
Skips delivery fee is high but normally it isn't .
In cases where there dekviery fee i… https://t.co/hQHCJQ3jBe"
27427,1.2497264279074406e+18,@BernieFinland @veggie64_leslie @Uber_Support is the worst. They are ripping people off. But you k ow what. They ar… https://t.co/KRhIIv5BGy
29193,1.2497268860932465e+18,@Uber_Canada REFUND ME FOR YOUR APP GLITCH THAT COATED ME MY MONEY! #boycottuber @DoorDash @SkipTheDishes are way h… https://t.co/703Pdo1VeQ
29936,1.2497270825627525e+18,@UberEats tryna make us gain weight and broke  cuz people gonna order more to get free delivery and avoid small order fees
913,1.2497273288396636e+18,"@Uber_Canada is a joke, a charlatan and an hypocrite. Refusing to refund customer for thei own app mistakes, people… https://t.co/rUZ5rmHryN"
6221,1.2497286778369188e+18,@Uber_Support @Uber_Canada stopped responding to my complaints in hope I just give up. But guess what? It’s a pende… https://t.co/lXX7khIws8
6820,1.249728818333573e+18,@Uber This is awesome
9077,1.249729375626498e+18,@ParamjitGarewal @WashTimes @shellieblum @spanglesvi @RL9631 @ItsJustJill @TruthGunner @RealErinCruz @uberstephanie… https://t.co/QK7ZuPicQi
10547,1.2497297559240417e+18,@Uber_Support You don’t get to tell me how I communicate with you anymore. You don’t want to help. Then here is where it will be dealt with.
13125,1.249730414278779e+18,@Uber_Support You aren’t here to help. Stop the bs #boycottuber
17143,1.2497314172837437e+18,"Not sure what to do for lunch remember we are open. Check us out on #ubereats , #doordash , #toasttakeout. Let us s… https://t.co/zCim3mVg9T"
26090,1.2497336688739901e+18,@ParamjitGarewal @spanglesvi @WashTimes @shellieblum @RL9631 @ItsJustJill @TruthGunner @RealErinCruz @uberstephanie… https://t.co/nUxBA7sq8x
382,1.2497347277050388e+18,@Uber_Support @Uber_Support @Uber_Canada what kind of business attitude is this? Not refunding customers for error… https://t.co/a6KKDoc26Y
2967,1.2497353788080292e+18,@Cmarinas11 @VinceGomaha @GorillaTeaParty @mrtompinney @UberFacts I did.
8876,1.2497369111508582e+18,"We would like to know??

#7miles #asu #ubereats #postmates  #grubhub #doordash @ Tempe, Arizona https://t.co/sqnTZp8NKM"
15766,1.2497410764051292e+18,@UberWiseGuy @sm482 @GrahamAllen_1 @realDonaldTrump @GovofCO The purpose of the mask is to prevent you from spreadi… https://t.co/LF8BkWGj96
26658,1.2497451190429123e+18,#Uber #COVIDー19 #LosAngelesLockdown #SocialDistancing #Prius https://t.co/iuIYwRSq9e
26789,1.2497451562255892e+18,@UberEats how can I get copies of receipts??
28105,1.2497454793211617e+18,@UberEats my orders keep getting canceled - WHY?!?
5659,1.2497474011345428e+18,@Uber_Support Sent
8252,1.2497480342520873e+18,@UberEats What if you lowered the commission fee you take from the restaurant? The free delivery fee waived helps t… https://t.co/VaxR7QkBGU
8857,1.2497481709528474e+18,@Uber_Support @Uber_Canada So according to your auto message. Not refunding people for your app glitch is an approp… https://t.co/m4YPQHRndf
10825,1.2497486694836716e+18,@TheAmz2017 @Dborn21con @marlibwilson @MikeMurai8632 @UberFacts um okay stranger on the internet that thinks they k… https://t.co/eN9Be6Ns3p
12020,1.2497489600984474e+18,"Free @ChickfilA delivery on @UberEats?  Yes, please! https://t.co/VxyaHUEMq7"
15184,1.2497497478266552e+18,@RadioCanadaInfo @tvanouvelles @Uber_Support @Uber_Canada nous vole notre argent en refusant de nous rembourser alo… https://t.co/Nj23cKjL5K
16974,1.2497502015287132e+18,@UberEats just stole my money and in highly pissed. How y’all CHARGE somebody for something THEN FKN CANCEL IT !!!!… https://t.co/UIFJ5v7vpO
23920,1.24975194433323e+18,@poppyculture181 @ubervaper My God. I am so very sorry.
4600,1.249755626361815e+18,@Uber_Support I work for a non-profit that represents over 1000 locally owned &amp; independent businesses. Many restau… https://t.co/vjoprSX2eP
5827,1.2497559598341325e+18,Never ever ever never use @UberEats they just cancel orders on you left and right. They have canceled 3 orders on m… https://t.co/ucPvpoRa8i
11108,1.2497572671356928e+18,@ubergingerMA All of her children's friends loved to be around her. She was funny and vibrant and irreverent and she was loved by so many.
23473,1.2497603164827812e+18,kung pao tofu will spice up your work from home life 🔥🌶 order 📞4809667660 delivery @postmates @doordash @ubereats… https://t.co/OvLWRCX1mt
24389,1.2497605585529324e+18,@jimjag @tobie @briankhsieh @Uber Congrats! Hope you can have a positive influence on them! Would love to see more OSS from them! 🥳
11331,1.2498191858086584e+18,"@UberEats  I get that these are busy times but this is the second order I’ve placed with you today missing items, t… https://t.co/t3uG8En1Ic"
21844,1.2498235646032855e+18,"@LennyDykstra @Uber @CrimeInSports @Phillies @Mets @DisneyParks Well, you asked us to be creative Nails?! Just pick… https://t.co/u9wEDEH9YR"
9036,1.2498273671634944e+18,"@CNN @KeishaBottoms @atlantaymca 
@cjsattorneys @UberFacts @ritzyswims04 @Marcelreed37 @NRosenbluth @epaisecurity
T… https://t.co/vneNIpKNd7"
23581,1.2498304546366382e+18,@Uber Did you get my doctors letter to reopen my case regarding the Financial assistance program? https://t.co/abDJme1XaY
6348,1.2498332585415148e+18,Please don’t attack me like this @UberFacts
12672,1.249834641353212e+18,@Ubercapper Take that purple Easter basket cellophane filter off of your camera! 😂😂
17591,1.2498357295864545e+18,Love ordering from @UberEats and not only getting the wrong order but also making it downstairs just in time to see… https://t.co/fdmUAqMdms
20336,1.2498363543363707e+18,@UberEats SUCK MY DICK YALL NIGGAS SUCK WORD TO MY DEAD 🗣🗣
21597,1.2498366336013476e+18,Just deleted @UberEats and @Postmates from my phone.  It's Time to Delete Your Delivery Apps https://t.co/3z83f0bPtd
3325,1.2498391420385362e+18,@uber really be tryinggg how TF doesmmy ride change from $16 to $23 and this isn't the first time 😅
9377,1.2498404655929795e+18,"@Uber_Support what’s the hold up? You ran my background check on July 9, 2019.  I’ve been told ever since then to w… https://t.co/XtR90IUHNB"
22256,1.2498433681186816e+18,@uberpauzudo Que rico
27526,1.2498445529717555e+18,@CashApp @Uber @UberEats @ubereats_uk
28667,1.2498448074569974e+18,@Ubereats @Uber_Support @TheShadeRoomm
1961,1.249845542387155e+18,@Uber @Uber_Support @UberEats #StayHome #StayAtHome #Ijustwantmyfood #IGOTPROOF
28352,1.2500387379223757e+18,@HohnLogan @LovelyLilo11 @Uber Extra traffic &amp; POLLUTION*
4175,1.250041497719681e+18,@UberNaffa @clairesandberg The most depressing thing about that is that anyone who watched Joe lie brazenly in his… https://t.co/bEdOqCitaH
4426,1.250041607849558e+18,Idk why none of the @Uber drivers aren't working right now... I'm an #EssentialWorker wanting to go home but having no luck #WTH
15005,1.250046313908953e+18,@FintechnewsUSA @clairebotai @Dropbox @WordStream @Zendesk @Groupon @cloudera @WhatsApp @Uber @venmo @SlackHQ… https://t.co/ldFZyyoc3V
15137,1.2500463664553984e+18,Back to the #Pierogi grind! Find us on @Seamless @Grubhub &amp; @UberEats - order for #lunch or reheat later for… https://t.co/H3PyHGPYNq
12033,1.2500569283839713e+18,Order yourself a milkshake along with a sweet treat! #doordash #ubereats #postmates #grubhub https://t.co/UdCPfGaUlj
17890,1.2500591121398948e+18,"@Uber_DC - a dysfunctional Jump scooter has been sitting in front of my building for days, but there is no way to report it in your app"
28231,1.2500628740111442e+18,@sm482 @UberWiseGuy @GrahamAllen_1 @realDonaldTrump @GovofCO That’s a great idea!
29040,1.2500631870236672e+18,@sparkyboy85 @UberFacts Yup! Watch the Tut documentary on Disney+. The makeup of the dagger could only have been from a meteor at that time.
5486,1.2500654494019625e+18,@ssmith_calabor @Uber @lyft @GavinNewsom @noamscheiber isn’t this different than the unemployment drivers are entit… https://t.co/mI8V3PHLjw
12057,1.25006777682543e+18,Stocked up on yummy desserts (takeout only)🍰🍰 Shop OPEN 10am-8pm today for takeout &amp; delivery @ubereats @doordash 🛵… https://t.co/wToSUrqNlg
16666,1.2500693519626854e+18,"@noamscheiber @ssmith_calabor @Uber @lyft @GavinNewsom Gotcha but in those 3 states, if Uber and Lyft aren't report… https://t.co/pffoHZRet5"
18091,1.2500698407459553e+18,@JohnRed60715784 @uberbratwurst Do think those tuskers r still alive? Fantastic video from somewhere. NO LOCATION PLEASE
19876,1.250070447657554e+18,@uberbratwurst Great except #1
22763,1.250071428914983e+18,"@uberbratwurst @JohnRed60715784 You jest,  HOPEFULLY"
24833,1.2500728152247378e+18,@Uber_Support you have been charging me for some uber pass 14.99. I wan my money back. I have never signed up for t… https://t.co/YgIdbbNuBe
11075,1.25007734446481e+18,"@UberFrood @jgavinfl @WayneDupreeShow U the Frood, you can ""hear"" all sorts of things.  Like, I ""heard"" YOU LIKE EX… https://t.co/vuFnALPWuH"
21337,1.2500799224224563e+18,@Prabajati1 @1smartdumbgirl @Jarminx @dyynamic_ @Steven0g6 @prettyjosie26 @HohnLogan @LovelyLilo11 @Uber Let’s be h… https://t.co/I87ReTzaRa
6336,1.2500835408149627e+18,Hungry? South Beach ATL has partnered with @DoorDash @UberEats @Postmates and @Grubhub https://t.co/UvONVq7SNn
11309,1.250084805884162e+18,"They take 30% of our profit which is why I will NOT use these services!  

@Grubhub @UberEats @Postmates — SHAME ON… https://t.co/ezBLpNiT2m"
24525,1.2500881496588534e+18,@yeaimtheirdad @1smartdumbgirl @Jarminx @dyynamic_ @Steven0g6 @prettyjosie26 @HohnLogan @LovelyLilo11 @Uber It work… https://t.co/EZQ5K4FxwG
1979,1.2500899710605435e+18,I’m sick of @Uber and my job. 😑 50.00 a day to get to and from work. But we considered essential employees and don’… https://t.co/LBgBLiudFx
4806,1.2501099686170132e+18,@FOX29philly @RickeySmiley @6abc @ABC @ABC6 @FOX29philly @AlexHolleyFOX29 @NBCPhiladelphia @10investigators @Uber… https://t.co/EBWUnnsFMW
16915,1.2501129591893033e+18,"$CRSM, Uber &amp; Lyft new competition, ride the Green Graph Up.🚙 

#RideSharing #Uber #Lyft
#Tesla $TSLA #CarSharing… https://t.co/ywlGGV3PVr"
29376,1.2501211179201208e+18,@UberFacts That's funny !!
4053,1.2501222151374643e+18,"@dirtdog65 @Grubhub @UberEats @Postmates @Chefbriduff I actually believe it’s their usual cut… Which to me, makes i… https://t.co/4Br5lf2NWx"
24699,1.250152495986299e+18,@Uber_Support I’ve been waiting since March 17th. And now you want me to wait even longer. I realized a pandemic ha… https://t.co/DWaJ1r2C0a
3617,1.250154675799765e+18,"@Uber fraudulent charges, no service and no way to reach anyone. Awful"
11740,1.2501567195749007e+18,Quarantine with tacos de lengua. #ubereats @ Maîson d' Sandoval https://t.co/qLUxQzhI7i
13029,1.250157038644138e+18,@UberFacts @AceValour
26727,1.2501604514612224e+18,Enjoying a great @subway lunch and @HubertsLemonade with our $100 @UberEats gift card courtesy of @CocaCola to supp… https://t.co/q2JIQXXjCe
28860,1.2501912364069274e+18,@UberCheIseaFC @KitPlugUK @brythompson
17254,1.250195174367449e+18,Trump is just naming off companies like it’s an offering on @DoorDash @Grubhub @Seamless @Postmates @UberEats and @gopuff 🤣🤣🤣
18089,1.250201584908329e+18,ok @gupi. @gupimusic @slayyyter @alicelongyugao @bludetiger  @UberEats 🥺🥺🥰🥰🥰🤪🤪🤪🅰️🅰️🅰️🅰️
21538,1.2502023314651095e+18,@oneblockeast642 #TUESDAY FULL KITCHEN OPEN FROM  5pm-8pm #ToGoOrdersOnly #dial6019440203 #waitr #grubhub #ubereats… https://t.co/OHJ0FOln8m
29848,1.2502040406691267e+18,@happigurl24 @_Flozus @Ubergod @JoJoWri36045146 @JenniDG @girgircin @JoeySalads @Acosta I just recall Trump and Fox… https://t.co/YPomWzJSwd
11833,1.2502066059390362e+18,"@UberFacts I knew it... they're fake.....my whole life was a lie 😭,🤫😄 I know and knew better"
19308,1.250208222784508e+18,@UberEats how does waiving the delivery fee for the customer help support independent restaurants? wouldnt you waiv… https://t.co/6eofhX1w8f
15380,1.250214045476696e+18,@LtGovStratton @UberEats @Grubhub This QC restaurant is amazing. Thanks so much for featuring!
21333,1.2502153819371315e+18,@UberFacts Aliens are real!!
21393,1.250215396390699e+18,@UberEatsBoston It did for me.
231,1.2502173620890092e+18,"Too uninspired to dream up dinner so it's Luna Maya in Smyrna &amp; @UberEats to the tasty rescue, paired with… https://t.co/PBXjU33IaZ"
8136,1.2502190979855974e+18,#tropcicalburstsmoothie with #elderberry &amp; #flaxseeds #fullyloadedkalesalad #ubereats @ Moorish Medicine https://t.co/i8jD8bHNen
10778,1.250219698505089e+18,hey  @UberEats @Uber_Support im a driver can yall tell me why the fuck the money i made isnt transferring into my a… https://t.co/1zAYDY7MBN
21709,1.250222085764518e+18,@Uber_Support @UberEats @Uber we have been charged over $200 in Ubereats charges that we didn’t purchase in the las… https://t.co/8FtbgnnUdQ
23518,1.2502224910726308e+18,@uberlyftdrivers I guess this explains the delay.
29918,1.2502239129878774e+18,Hungry? Get $15 off your first #UberEats order when you use my code: eats-laceys843ue. Download the app to order: https://t.co/LRNvReowAi
6002,1.2502252529212334e+18,I’ve been asking @Uber_Support the same question for about a month now and I continue to get the same automated res… https://t.co/gmrdlccKGW
6174,1.2502252868908237e+18,Super #burger de #Mural6 pídela #parallevar directo o a través de #UberEATS #QuedateEnCasa #cuarentena… https://t.co/oENy6OvJeY
21774,1.2503335520271647e+18,24 hours...@10k loans for people with Disabilities and Addicts in Recovery? Gig work @UberEats @amazon @FedExForum @UPS @Postmates
24744,1.2503359505105388e+18,@heyaries1981 @cre8flow @UberMitch @DMBarstow @JimHansonDC @Timbo0927 @realDonaldTrump Ahhh the MAGA Pretzel 🥨 how.… https://t.co/a76nUeESzV
1671,1.25034431006455e+18,That thing where you give up on trying to sleep and just order @McDonalds #breakfast from @UberEats (using my… https://t.co/4PMLxcpKMm
28083,1.2505061145354895e+18,@UberFacts https://t.co/T8mwCzR6ad
9115,1.2505100874597622e+18,#greendotbank #uber #gobank #pay @azfamily @KTAR923 @FDICgov
13656,1.250511157191938e+18,"#beyondtheheadrest
.
.
.
#ubertoronto #uber #uberdriver #lyftdriver #lyft #torontodrivers #toronto #the6 #the6ix @… https://t.co/Ai5G8g5nMd"
14635,1.2505113949712343e+18,"Hey @Uber_Support 
This guy stole my food. The new delivery driver that went to pick it up after Demetrius cancelle… https://t.co/E3AepWfrG5"
15675,1.2505116474558054e+18,@UberFacts Not me
20522,1.250512780920316e+18,"Wow, just... how thoughtful of the virus?!

#coronavirus #funnysigns #covid_19 #covid19 #covid #ubereats

Got any o… https://t.co/6rNVJ9g0BU"
2506,1.250515659496317e+18,@yukonmike80 @arghavan_salles @Uber @lyft This person:  10/10
7430,1.2505168430029169e+18,@ubercreeep https://t.co/lqAB9X5TMP
8409,1.2505170782531092e+18,"MIERCOLES todas las ENTRADAS a MITADAD DE PRECIO
¡Disfruta tu día en Veganteria! 
#uberEats #SinDelantal #DiDiFood… https://t.co/bbBYaV2Czj"
17149,1.250519134590419e+18,"If you’re in #Cleveland, don’t miss out!! Try #HolidayGrillAndCatering on @UberEats!! https://t.co/F1BEBHcD0x"
